Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Ezekiel Elliott*,DAL,23,RB,15,15,304,1434,6,74,41,4.7,95.6,6
Saquon Barkley*,NYG,21,RB,16,16,261,1307,11,50,78,5.0,81.7,0
David Johnson,ARI,27,RB,16,16,258,940,7,51,53,3.6,58.8,3
Todd Gurley*+,LAR,24,RB,14,14,256,1251,17,70,36,4.9,89.4,1
Adrian Peterson,WAS,33,RB,16,16,251,1042,7,47,90,4.2,65.1,3
Jordan Howard,CHI,24,RB,16,15,250,935,9,53,42,3.7,58.4,2
Chris Carson,SEA,24,RB,14,14,247,1151,9,61,61,4.7,82.2,3
Peyton Barber,TAM,24,RB,16,16,234,871,5,41,28,3.7,54.4,1
Christian McCaffrey,CAR,22,RB,16,16,219,1098,7,53,59,5.0,68.6,4
James Conner*,PIT,23,RB,13,12,215,973,12,56,30,4.5,74.8,4
Derrick Henry,TEN,24,RB,16,12,215,1059,12,51,99,4.9,66.2,1
Lamar Miller*,HOU,27,RB,14,14,210,973,5,36,97,4.6,69.5,1
Sony Michel,NWE,23,RB,13,8,209,931,6,54,34,4.5,71.6,1
Marlon Mack,IND,22,RB,12,10,195,908,9,50,49,4.7,75.7,2
Alvin Kamara*,NOR,23,RB,15,13,194,883,14,57,49,4.6,58.9,1
Nick Chubb,CLE,23,RB,16,9,192,996,8,47,92,5.2,62.3,0
Phillip Lindsay*,DEN,24,RB,15,8,192,1037,9,49,65,5.4,69.1,0
Kareem Hunt,KAN,23,RB,11,11,181,824,7,46,45,4.6,74.9,0
Melvin Gordon*,LAC,25,RB,12,12,175,885,10,47,34,5.1,73.8,1
Doug Martin,OAK,29,RB,16,9,172,723,4,37,29,4.2,45.2,3
Tevin Coleman,ATL,25,RB,16,14,167,800,4,36,65,4.8,50.0,2
LeSean McCoy,BUF,30,RB,14,13,161,514,3,22,28,3.2,36.7,0
Frank Gore,MIA,35,RB,14,14,156,722,0,25,39,4.6,51.6,1
LeGarrette Blount,DET,32,RB,16,8,154,418,5,25,27,2.7,26.1,2
Matt Breida,SFO,23,RB,14,13,153,814,3,36,66,5.3,58.1,1
Dalvin Cook,MIN,23,RB,11,10,133,615,2,22,70,4.6,55.9,2
Leonard Fournette,JAX,23,RB,8,8,133,439,5,23,25,3.3,54.9,0
Aaron Jones,GNB,24,RB,12,8,133,728,8,41,67,5.5,60.7,1
Alex Collins,BAL,24,RB,10,10,114,411,7,22,19,3.6,41.1,3
Cam Newton,CAR,29,QB,14,14,101,488,4,36,29,4.8,34.9,6
Tarik Cohen*+,CHI,23,RB,16,7,99,444,3,20,32,4.5,27.8,7
Deshaun Watson*,HOU,23,QB,16,16,99,551,5,33,34,5.6,34.4,9
Josh Allen,BUF,22,QB,12,11,89,631,8,41,45,7.1,52.6,8
Wendell Smallwood,PHI,24,RB,16,6,87,364,3,22,15,4.2,22.8,2
Bilal Powell,NYJ,30,RB,7,7,80,343,0,16,38,4.3,49.0,2
Dak Prescott*,DAL,25,QB,16,16,75,305,6,25,28,4.1,19.1,12
Mitchell Trubisky*,CHI,24,QB,14,14,68,421,3,29,39,6.2,30.1,6
Russell Wilson*,SEA,30,QB,16,16,67,376,0,23,40,5.6,23.5,10
Marcus Mariota,TEN,25,QB,14,13,64,357,2,26,27,5.6,25.5,9
Patrick Mahomes*+,KAN,23,QB,16,16,60,272,2,17,28,4.5,17.0,9
Blake Bortles,JAX,26,QB,13,12,58,365,1,28,41,6.3,28.1,8
Jameis Winston,TAM,24,QB,11,9,49,281,1,19,18,5.7,25.5,7
Andrew Luck*,IND,29,QB,16,16,46,148,0,12,33,3.2,9.3,6
Kirk Cousins,MIN,30,QB,16,16,44,123,1,12,19,2.8,7.7,9
Sam Darnold,NYJ,21,QB,13,13,44,138,1,16,28,3.1,10.6,5
Jared Goff*,LAR,24,QB,16,16,43,108,2,9,16,2.5,6.8,12
Aaron Rodgers*,GNB,35,QB,16,16,43,269,2,20,23,6.3,16.8,6
Alex Smith,WAS,34,QB,10,10,41,168,1,15,22,4.1,16.8,6
Baker Mayfield,CLE,23,QB,14,13,39,131,0,8,35,3.4,9.4,7
Carson Wentz,PHI,26,QB,11,11,34,93,0,8,13,2.7,8.5,9
Matt Ryan,ATL,33,QB,16,16,33,125,3,15,15,3.8,7.8,10
